id,id_detail_plan_tagih,id_top,id_spk_penawaran,id_penawaran,term_payment,persen_payment,nominal_payment,desc_payment,tgl_plan_tagih,urutan,tanggal_actual_plan_tagih,tagih_mundur,alasan_mundur,file_surat_mundur,file_laporan_progress,macet,sts_invoice,created_by,created_date
, , ,086/STM/MKT-SPK/VII/24, ,Penagihan 1,30%,22500000, ,2026-01-05, ,2026-01-05,, , , , , , ,
, , ,086/STM/MKT-SPK/VII/24, ,Penagihan 2,20%,15000000, ,2023-10-23, ,2023-10-23,, , , , , , ,
, , ,086/STM/MKT-SPK/VII/24, ,Penagihan 3,20%,15000000, ,2024-04-03, ,2024-04-03,, , , , , , ,
, , ,086/STM/MKT-SPK/VII/24, ,Penagihan 4,20%,15000000, ,2026-01-01, ,,, , , , , , ,
, , ,086/STM/MKT-SPK/VII/24, ,Penagihan 5,10%,7500000, ,2024-08-05, ,2024-08-05,, , , , , , ,
, , ,086/STM/MKT-SPK/VII/25, ,Penagihan 1,34%,17150000, ,2024-09-02, ,2024-09-02,, , , , , , ,
, , ,086/STM/MKT-SPK/VII/25, ,Penagihan 2,33%,16450000, ,2024-11-04, ,2024-11-04,, , , , , , ,
, , ,, ,Penagihan 3,33%,16400000, ,2025-07-04, ,2025-07-04,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 1,4%,15000000, ,2026-02-01, ,,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 2,4%,15000000, ,2025-08-04, ,2025-08-04,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 3,4%,15000000, ,2025-09-02, ,2025-09-02,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 4,4%,15000000, ,2025-11-04, ,2025-11-04,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 5,4%,15000000, ,2023-08-24, ,2023-08-24,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 6,4%,15000000, ,2023-09-13, ,2023-09-13,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 7,4%,15000000, ,2023-10-11, ,2023-10-11,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 8,4%,15000000, ,2023-11-10, ,2023-11-10,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 9,4%,15000000, ,2023-12-11, ,2023-12-11,, , , , , , ,
